runId,time,S,E,I1,I2,G1,G2,R,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,12.0,432,107,307,137,0,0,17,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,13.0,383,94,348,154,0,0,21,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,14.0,333,86,389,168,0,0,24,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,15.0,276,94,419,181,0,0,30,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,16.0,236,79,456,191,0,8,30,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,17.0,191,67,492,201,0,18,31,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,18.0,164,58,507,205,0,29,37,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,19.0,138,54,528,212,0,32,36,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,20.0,114,42,546,219,0,43,36,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,21.0,96,32,553,223,0,56,40,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,22.0,81,31,549,227,0,68,44,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,23.0,74,21,552,224,0,82,47,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,24.0,60,17,547,223,0,94,59,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,25.0,54,14,528,218,0,119,67,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,26.0,43,12,520,219,0,131,75,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,27.0,35,14,508,216,0,143,84,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,28.0,31,11,493,215,0,155,95,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,29.0,26,10,479,203,0,177,105,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,30.0,26,3,469,193,0,196,113,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,31.0,24,2,448,182,0,218,126,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,32.0,22,4,422,178,0,239,135,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,33.0,20,2,397,169,0,258,154,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,34.0,17,4,367,164,0,278,170,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,35.0,16,2,349,158,0,290,185,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,36.0,13,4,330,152,0,306,195,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,37.0,13,0,310,148,0,323,206,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,38.0,13,0,293,137,0,339,218,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,39.0,13,0,282,129,0,346,230,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,40.0,13,0,261,122,0,361,243,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,41.0,13,0,238,117,0,375,257,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,42.0,13,0,220,109,0,383,275,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,43.0,13,0,196,105,0,396,290,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,44.0,13,0,180,93,0,408,306,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,45.0,13,0,166,85,0,419,317,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,46.0,13,0,159,84,0,425,319,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,47.0,13,0,145,77,0,437,328,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,48.0,13,0,129,73,0,444,341,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,49.0,13,0,112,65,0,452,358,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,50.0,13,0,102,62,0,458,365,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,51.0,13,0,94,58,0,463,372,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,52.0,13,0,90,52,0,467,378,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,53.0,13,0,78,51,0,472,386,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,54.0,13,0,71,49,0,473,394,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,55.0,13,0,69,43,0,474,401,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,56.0,13,0,60,40,0,479,408,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,57.0,13,0,55,34,0,482,416,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,58.0,13,0,50,31,0,483,423,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,59.0,13,0,49,28,0,484,426,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,60.0,13,0,44,26,0,485,432,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,61.0,13,0,42,24,0,486,435,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,62.0,13,0,37,23,0,489,438,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,63.0,13,0,33,22,0,490,442,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,64.0,13,0,30,21,0,492,444,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,65.0,13,0,30,21,0,492,444,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,66.0,13,0,29,19,0,493,446,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,67.0,13,0,29,17,0,494,447,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,68.0,13,0,26,15,0,497,449,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,69.0,13,0,27,15,0,497,448,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,70.0,13,0,26,13,0,497,451,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,71.0,13,0,27,11,0,498,451,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,72.0,13,0,23,9,0,502,453,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,73.0,13,0,20,9,0,503,455,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,74.0,13,0,19,9,0,504,455,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,75.0,13,0,18,9,0,504,456,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,76.0,13,0,13,8,0,504,462,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,77.0,13,0,12,8,0,504,463,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,78.0,13,0,11,8,0,504,464,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,79.0,13,0,10,7,0,504,466,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,80.0,13,0,9,6,0,504,468,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,81.0,13,0,8,6,0,504,469,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,82.0,13,0,8,6,0,505,468,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,83.0,13,0,8,6,0,505,468,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,84.0,13,0,8,6,0,505,468,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,85.0,13,0,8,5,0,505,469,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,86.0,13,0,8,5,0,505,469,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,87.0,13,0,7,5,0,506,469,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,88.0,13,0,6,5,0,506,470,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,89.0,13,0,6,5,0,506,470,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,90.0,13,0,4,4,0,506,473,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,91.0,13,0,4,2,0,507,474,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,92.0,13,0,3,2,0,507,475,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,93.0,13,0,3,2,0,507,475,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,94.0,13,0,3,2,0,507,475,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,95.0,13,0,3,2,0,507,475,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,96.0,13,0,3,2,0,507,475,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,97.0,13,0,2,2,0,507,476,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,98.0,13,0,1,2,0,507,477,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,99.0,13,0,1,2,0,507,477,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,100.0,13,0,1,2,0,507,477,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,101.0,13,0,1,1,0,507,478,0,15.0,false,true,4,6,0.1,10,10,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,102.0,13,0,1,1,0,507,478,0,15.0,false,true,4,6,0.1,10,10,11
