runId,time,S,E,I1,I2,G1,G2,R,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,0.0,1000,0,0,0,0,0,0,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,1.0,929,51,10,10,0,0,0,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,2.0,926,38,21,13,0,0,2,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,3.0,900,34,44,19,0,0,3,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,4.0,858,61,52,26,0,0,3,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,5.0,839,41,80,34,0,0,6,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,6.0,791,63,98,40,0,0,8,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,7.0,760,59,130,44,0,0,7,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,8.0,707,70,159,54,0,0,10,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,9.0,670,71,190,59,0,0,10,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,10.0,618,75,225,69,0,0,13,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,11.0,572,74,262,77,0,0,15,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,12.0,508,95,295,86,0,0,16,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,13.0,465,83,335,98,0,0,19,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,14.0,408,85,369,114,0,0,24,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,15.0,355,88,410,124,0,0,23,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,16.0,301,98,437,139,0,0,25,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,17.0,264,69,480,157,0,0,30,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,18.0,211,77,513,168,0,0,31,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,19.0,177,62,555,175,0,0,31,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,20.0,137,65,580,182,0,0,36,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,21.0,114,52,607,189,0,0,38,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,22.0,78,47,630,203,0,0,42,30.0,true,true,4,6,0.1,10,10,28
T30_ontrue_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p1_gOff0p3_1781245140965,23.0,58,41,642,209,0,0,50,30.0,true,true,4,6,0.1,10,10,28
