t,S,E,I1,I2,R,G1,G2,I_total,G_total,h
0.0,0.99,0.008,0.001,0.001,0.0,0.0,0.0,0.002,0.0,0.0
0.05,0.9899757450000001,0.007944255000000002,0.0010521000000000003,0.0010184000000000003,9.500000000000002e-06,0.0,0.0,0.0020705000000000003,0.0,0.0
0.1,0.9899504985871685,0.007890063612831354,0.001103512086,0.001036570314,1.9355400000000004e-05,0.0,0.0,0.0021400824,0.0,0.0
0.15000000000000002,0.9899242740698697,0.00783739717170195,0.0011542512275393858,0.001054516210859928,2.956132002900001e-05,0.0,0.0,0.0022087674383993137,0.0,0.0
0.2,0.9898970844693831,0.007786227581131693,0.0012043321054241733,0.001072242858097254,4.011298596389185e-05,0.0,0.0,0.0022765749635214275,0.0,0.0
0.25,0.9898689425253853,0.007736527305811187,0.0012537691174284884,0.0010897553238920338,5.100572748313187e-05,0.0,0.0,0.0023435244413205223,0.0,0.0
0.30000000000000004,0.9898398607013261,0.007688269359675913,0.0013025763838844723,0.001107058579052737,6.223497606081513e-05,0.0,0.0,0.002409634962937209,0.0,0.0
0.35000000000000003,0.9898098511897016,0.007641427295191797,0.0013507677531627742,0.0011241574989436186,7.379626300036027e-05,0.0,0.0,0.002474925252106393,0.0,0.0
0.4,0.9897789259172247,0.007595975192848198,0.00139835680704576,0.0011410568653743812,8.568521750702982e-05,0.0,0.0,0.002539413672420141,0.0,0.0
0.45,0.9897470965498988,0.007551887650854374,0.0014453568659955154,0.0011577613684528587,9.789756479852551e-05,0.0,0.0,0.002603118234448374,0.0,0.0
0.5,0.9897143744979915,0.007509139775035581,0.0014917809943186915,0.0011742756084014395,0.00011042912425291302,0.0,0.0,0.0026660566027201307,0.0,0.0
0.55,0.9896807709209137,0.007467707168925003,0.0015376420052301944,0.0011906040973379331,0.0001232758075931451,0.0,0.0,0.0027282461025681277,0.0,0.0
0.6000000000000001,0.9896462967320055,0.0074275659240478275,0.0015829524658176886,0.0012067512610215716,0.00013643361710746638,0.0,0.0,0.00278970372683926,0.0,0.0
0.65,0.9896109626032277,0.00738869261039376,0.0016277247019088356,0.0012227214405648192,0.00014989864390499622,0.0,0.0,0.002850446142473655,0.0,0.0
0.7000000000000001,0.989574778969765,0.007351064267074466,0.0016719708028431722,0.0012385188941116624,0.0001636670662058016,0.0,0.0,0.0029104896969548346,0.0,0.0
0.75,0.9895377560345394,0.007314658393162358,0.0017157026261504708,0.0012541477984830242,0.0001777351476647828,0.0,0.0,0.002969850424633495,0.0,0.0
0.8,0.9894999037726366,0.007279452938707315,0.0017589318021374123,0.0012696122507899468,0.0001920992357287101,0.0,0.0,0.003028544052927359,0.0,0.0
0.8500000000000001,0.9894612319356468,0.007245426295927924,0.0018016697383843492,0.0012849162700151674,0.0002067557600257613,0.0,0.0,0.003086586008399517,0.0,0.0
0.9,0.9894217500559216,0.0072125572905739205,0.0018439276241539162,0.001300063798563705,0.000221701230786923,0.0,0.0,0.003143991422717621,0.0,0.0
0.9500000000000001,0.9893814674507486,0.007180825173456558,0.001885716434713202,0.001315058703783057,0.00023693223729863091,0.0,0.0,0.003200775138496259,0.0,0.0
1.0,0.9893403932264453,0.0071502096121437,0.001927046935571166,0.001329904779453603,0.0002524454463860364,0.0,0.0,0.003256951715024769,0.0,0.0
1.05,0.9892985362823744,0.007120690682816493,0.00196792968663296,0.0013446057472497911,0.0002682376009262992,0.0,0.0,0.003312535433882751,0.0,0.0
1.1,0.9892559053148787,0.007092248862284505,0.0020083750462727575,0.0013591652581726782,0.0002843055183913165,0.0,0.0,0.0033675403044454355,0.0,0.0
1.1500000000000001,0.9892125088211433,0.007064865020156334,0.002048393175326706,0.0013735868939543843,0.0003006460894193118,0.0,0.0,0.0034219800692810902,0.0,0.0
1.2000000000000002,0.9891683551029801,0.007038520411162672,0.0020879940410075347,0.0013878741684350045,0.00031725627641471655,0.0,0.0,0.0034758682094425393,0.0,0.0
1.25,0.9891234522705404,0.007013196667628927,0.0021271874207423646,0.00140203052891252,0.00033413311217579065,0.0,0.0,0.0035292179496548845,0.0,0.0
1.3,0.9890778082459546,0.006988875792094525,0.00216598290593521,0.001416059357466231,0.00035127369854943583,0.0,0.0,0.003582042263401441,0.0,0.0
1.35,0.9890314307669014,0.006965540150076071,0.002204389905655647,0.0014299639722542307,0.0003686752051126697,0.0,0.0,0.0036343538779098775,0.0,0.0
